id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
4,2,s 0231,c 0132,2,vehicule,1,Wecktellin,Wecktellin,True,vekti...,v_@_k_t_i,v_@_k_t_e_l_i_n,3.0,Wecktellin,v_@_k_t_e_l_i_n,3.0
4,2,s 0231,c 0132,3,personnage,3,Lasgelich,Lasgelich,True,terrainaud,t_e_r_aI_n_aU_d,l_a_s_g_e_l_i_C,9.0,Tereinat,t_e_r_aI_n_a_t,0.7142857142857143
5,2,s 2310,c 3102,0,vehicule,2,Wecktellin,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
5,2,s 2310,c 3102,0,maison,2,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
5,2,s 2310,c 3102,1,maison,0,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
5,2,s 2310,c 3102,0,personnage,2,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
5,2,s 2310,c 3102,3,maison,1,-1,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
5,2,s 2310,c 3102,1,vehicule,0,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
5,2,s 2310,c 3102,2,maison,3,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
5,2,s 2310,c 3102,1,personnage,0,Tereinat,Tereinat,True,terrainard,t_e_r_aI_n_a_r_d,t_e_r_aI_n_a_t,1.7142857142857144,Tereinat,t_e_r_aI_n_a_t,1.7142857142857144
5,2,s 2310,c 3102,3,vehicule,1,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
5,2,s 2310,c 3102,2,personnage,3,Lasgelich,Soltete,False,vektelin,v_@_k_t_e_l_i_n,z_o_l_t_e_t_@,6.142857142857143,Wecktellin,v_@_k_t_e_l_i_n,0.0
5,2,s 2310,c 3102,2,vehicule,3,Soltete,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
5,2,s 2310,c 3102,3,personnage,1,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
1,3,s 1302,c 3012,0,vehicule,1,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
1,3,s 1302,c 3012,0,maison,1,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10,,,10
1,3,s 1302,c 3012,1,maison,3,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
1,3,s 1302,c 3012,0,personnage,1,Soltete,Mielbete,False,Tereinat,t_e_r_aI_n_a_t,m_i_l_b_e_t_@,7.857142857142858,Tereinat,t_e_r_aI_n_a_t,0.0
1,3,s 1302,c 3012,3,maison,0,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
1,3,s 1302,c 3012,1,vehicule,3,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
1,3,s 1302,c 3012,2,maison,2,Madikten,Madikten,True,Madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0,Madikten,m_a_d_i_k_t_@,0.0
1,3,s 1302,c 3012,1,personnage,3,Mielbete,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
1,3,s 1302,c 3012,3,vehicule,0,Zulergen,Melare,False,Melare,m_e_l_a_r_@,m_e_l_a_r_@,0.0,Melare,m_e_l_a_r_@,0.0
1,3,s 1302,c 3012,2,personnage,2,Keimase,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
1,3,s 1302,c 3012,2,vehicule,2,Tereinat,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
1,3,s 1302,c 3012,3,personnage,0,Mattendich,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
6,2,s 3021,c 2103,0,vehicule,1,Lasgelich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
6,2,s 3021,c 2103,0,maison,1,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
6,2,s 3021,c 2103,1,maison,3,Zulergen,Ligete,False,,,l_i_g_e_t_@,10,,,10
