id,jour,ordre conditions,ordre histoires,condition,histoire,PM oral,nbSyll,debit moyen,variance debit,identification,dénomination,nb0,nb1,freq moy pédalage/baseline,variance pédalage/baseline,freq moy pédalage,variance pédalage,nbSyllAudio,nbPauses,SpeechRate,ArticulationRate,SpeakingDuration,originalDuration
10,2,c 1230,s 1203,0,3,3.0,546,4.271468997749449,3.101544610575392,0,0.0,3,0,,,,,492,31,3.865979381443298,4.92157490396927,0.7855167211465928,99.968
10,1,c 1230,s 1203,3,0,2.0,446,3.955788653558537,2.4924079795364493,0,2.0,1,2,-54.06355990259861,25.211305716080258,0.5146689482655282,0.0524031785639271,409,33,3.63568482434931,4.627534395365675,0.7856634902574317,88.38400000000003
10,1,c 1230,s 1203,0,3,1.0,444,4.282996777030905,2.675215029246095,0,1.3857142857142857,1,0,,,,,403,33,3.9062500000000004,5.048606935257569,0.7737282878411909,79.82399999999997
10,1,c 1230,s 1203,2,2,2.0,373,3.8993954885083,2.7432582163546417,0,2.857142857142857,0,1,,,0.9887022214300066,0.04339024997557356,361,29,3.7818471337579624,4.924159755565253,0.7680187730472683,73.31200000000003
10,2,c 1230,s 1203,2,2,3.0,585,4.019494023023979,4.016917877135418,0,1.9285714285714286,1,1,,,0.9487524464504933,0.041069010847134345,555,42,3.801369863013698,5.1274944567627445,0.7413698630136992,108.24000000000011
10,2,c 1230,s 1203,3,0,1.9285714285714286,488,3.4644163202384823,3.4601163964089823,0,0.8857142857142858,2,0,-46.95182590242075,33.102742510219166,0.5984126619421873,0.0584578509781923,463,41,3.2924678575492092,4.635191414384111,0.7103197178291044,99.88799999999999
10,1,c 1230,s 1203,1,1,1.9,461,3.71112712782682,2.7493442275469877,0,1.9,1,1,,,,,426,35,3.4368142506776813,4.577101598762247,0.7508713050212988,93.07200000000003
10,2,c 1230,s 1203,1,1,3.0,400,4.138590138568906,2.951150788984522,0,1.0,2,1,,,,,388,25,4.026901361673862,5.08919202518363,0.7912653603454002,76.24000000000001
11,1,c 2301,s 3120,0,2,1.5714285714285714,437,2.7768882089968643,2.2529947109550887,0,1.9428571428571426,0,1,,,,,469,63,2.978609897368154,4.357440166493235,0.6835687430139217,107.63200000000003
11,2,c 2301,s 3120,2,3,3.0,516,2.8622386717412778,2.3729025823462413,0,0.0,3,0,-3.8034179716447625,-9.725182387625885,0.6964987382357737,0.03252736367599643,558,88,3.0934007450771683,4.6736799785580265,0.6618768848678376,119.39200000000001
11,2,c 2301,s 3120,1,0,3.0,479,3.192879884743582,1.8559343826410077,0,0.3428571428571428,2,0,,,,,484,62,3.218427492286413,4.516947887113636,0.7125226087881684,107.15199999999993
11,2,c 2301,s 3120,3,1,1.3285714285714285,475,2.992844522765192,2.006719520759634,0,0.4285714285714286,1,0,-22.353898017915164,19.512092224619494,0.5154872191964,0.03644502421926838,516,57,3.2526475037821485,4.408749145591256,0.7377710539586477,117.03999999999988
11,1,c 2301,s 3120,2,3,1.0,358,2.732379049526512,2.3458818658565437,0,1.2857142857142856,1,1,4.129151983886303,95.5076972842748,0.7522745412258891,0.07053328585512442,396,59,3.0135151588944353,4.430719656283563,0.6801412394983566,89.37600000000005
11,2,c 2301,s 3120,0,2,2.0,372,2.515977324230512,1.9762670231552661,0,0.257142857142857,2,0,,,,,410,57,2.756265461976981,4.216718775711702,0.6536517156071846,97.23199999999996
11,1,c 2301,s 3120,3,1,1.8857142857142857,447,3.010520863865539,2.493411347274463,0,1.9,0,0,-10.567301174511801,26.310953934853675,0.5933740055546765,0.03712401912705781,466,62,3.130037614185921,4.3554658292208766,0.7186458893068242,106.99199999999999
11,1,c 2301,s 3120,1,0,2.0,391,2.8433305784731915,2.1909907348433144,0,2.4714285714285715,0,1,,,,,427,57,3.091693697868396,4.398796769408276,0.7028498609823908,97.07199999999997
12,1,c 3012,s 2130,0,1,2.928571428571429,253,2.206183392132209,3.592102127693178,0,2.6428571428571432,0,0,,,,,212,43,1.8578238923163206,4.5959070412764484,0.40423443634324163,46.128
12,2,c 3012,s 2130,1,3,3.0,286,1.7214564309504423,3.110182833673016,0,0.9857142857142855,1,0,,,,,231,51,1.379598662207358,4.340799759470837,0.31782130912565687,53.21599999999999
12,1,c 3012,s 2130,2,0,3.0,186,2.0994791002327253,3.614911085159498,0,3.0,0,3,-8.749275943834311,135.19609343960462,0.9003506971557772,0.049337846523309734,155,33,1.7502258355916895,4.5847136772361585,0.38175248419150853,33.80799999999999
12,2,c 3012,s 2130,0,1,3.0,328,1.7806674890970227,3.152874269255131,0,0.8857142857142858,2,0,,,,,255,68,1.3882839721254354,4.512315968289919,0.3076655052264809,56.512000000000015
12,1,c 3012,s 2130,1,3,2.857142857142857,235,1.7794427287896324,3.181292677016241,0,1.5428571428571427,0,0,,,,,187,49,1.4233954451345756,4.6471172962226674,0.3062964316161245,40.23999999999997
12,2,c 3012,s 2130,2,0,2.928571428571429,293,1.874323275639818,3.8629616221971377,0,2.2714285714285714,0,2,-3.514266890753981,44.64659306135837,0.9493222369794753,0.02920101140639512,237,51,1.5179852428776388,4.465631594814593,0.33992621438819415,53.07199999999998
12,1,c 3012,s 2130,3,2,2.557142857142857,296,1.9731681726518329,3.427124473092705,0,1.2999999999999998,1,0,-29.290316341717716,-18.766232758594903,0.733103904482937,0.03529308712754659,246,54,1.6354643123072015,4.33831828442438,0.3769811722157217,56.703999999999986
12,2,c 3012,s 2130,3,2,2.8857142857142857,254,1.7821699152992816,3.049606614517377,0,1.8857142857142857,0,1,-11.774947432144845,-19.271046395973258,0.9121675611682264,0.04117332169904329,223,58,1.5672438996963902,4.613538563389606,0.3397053862588552,48.336
13,2,c 1320,s 1023,1,1,0,376,2.3667847577541683,3.0674066947860927,0,1.1285714285714286,1,0,,,,,354,65,2.2285455278001614,4.750912604681129,0.46907735697018504,74.51199999999994
13,2,c 1320,s 1023,2,2,0,396,2.4346072081582126,3.13097418903516,0,0.0,3,0,,,0.8550865857050067,0.03318583606867053,378,76,2.328503843879361,4.776587141124144,0.4874827518233783,79.13599999999995
13,1,c 1320,s 1023,3,0,0.8285714285714285,301,2.7657669061054744,3.4399109688865415,0,0.8285714285714285,2,0,-23.595555907437525,-44.92396994019907,0.9081788142678551,0.03206261698998014,285,39,2.6221846017959662,4.574345146379046,0.5732371558957748,62.30399999999998
13,1,c 1320,s 1023,2,2,0,301,2.716406807116935,3.265349756462673,0,0.2857142857142857,2,0,,,1.0418482895503713,0.05130160338283168,274,42,2.4829636073655212,4.357506361323154,0.5698129621574599,62.88000000000001
13,2,c 1320,s 1023,3,0,0.7571428571428571,333,2.5501833729924996,3.010231799232865,0,0.32857142857142857,2,0,-36.909687772705226,-36.83779517433543,0.7499499056214313,0.04025735072454693,298,53,2.2878024812676574,4.507502420135528,0.5075543545019039,66.112
13,1,c 1320,s 1023,1,1,2.657142857142857,316,2.6524642950854553,2.2294035001820056,0,0.1428571428571427,2,0,,,,,288,50,2.4275118004045857,4.238285848834472,0.5727579231287929,67.95199999999998
13,1,c 1320,s 1023,0,3,1.0,282,2.4805068161234094,3.3796885994726544,0,0.5,2,0,,,,,256,51,2.266931141966563,4.542873367404881,0.49900821762539,56.35200000000003
13,2,c 1320,s 1023,0,3,1.0,423,2.443936892211185,3.206685725118987,0,0.7857142857142857,2,0,,,,,382,64,2.207173892946288,4.556297709923661,0.4844226680225574,83.84000000000006
14,2,c 2310,s 3102,2,3,2.6714285714285713,354,2.6459792613999737,2.5516116037147434,0,0.7428571428571427,1,0,9.84194836376946,74.97024077253005,0.830065112044244,0.05721070140125625,310,69,2.3360260429225943,4.298868426891497,0.5434048709910785,72.11200000000008
14,1,c 2310,s 3102,0,2,2.7,274,2.5239178047841966,1.7595972382534546,0,2.557142857142857,0,1,,,,,260,55,2.3974623782826794,4.233976029181863,0.5662437297137802,61.40800000000003
14,2,c 2310,s 3102,0,2,2.8285714285714283,403,3.0058131687561565,2.56579323032526,0,0.8142857142857143,1,0,,,,,378,68,2.8232552581261947,4.781420765027324,0.5904636711281068,79.05599999999997
