id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,nbPauses,meanPauses,varPauses,SpeechRate,ArticulationRate,SRAR,SpeakingDuration,FileDuration,SDFD,meanIPU,varIPU,meanDeb,varDeb
2,1,c 2130,s 3012,0,2,133,20,0.9328,0.2383641600000002,2.6156387665198237,4.131461232604373,0.6331025802391442,32.19200000000001,50.848,0.6331025802391442,1.5329523809523813,2.383180045351477,2.346341463414634,0.134681737061273
2,2,c 2130,s 3012,3,1,159,21,1.028571428571428,0.3161756734693898,2.6814624932541826,4.217954159592528,0.635725849973017,37.69600000000001,59.29599999999999,0.6357258499730171,1.713454545454546,0.7729317024793385,2.610204081632653,0.22295710120783005
2,1,c 2130,s 3012,1,0,137,19,0.9852631578947361,0.303139457063711,2.7251750477402923,4.342038539553749,0.6276257161043926,31.552000000000024,50.272000000000006,0.6276257161043926,1.5776000000000012,1.4846054400000013,2.6146341463414635,0.0802736466389054
2,2,c 2130,s 3012,1,0,136,20,0.8952000000000002,0.1337465600000002,2.7278562259306804,4.2563845768652975,0.6408857509627729,31.952,49.856,0.6408857509627728,1.5215238095238095,0.9161851065759634,2.6975000000000002,0.23374375
2,1,c 2130,s 3012,3,1,125,25,1.0393599999999998,0.4722786303999999,2.19760900140647,4.045831175556707,0.5431786216596344,30.896,56.879999999999995,0.5431786216596344,1.1883076923076923,0.4354472899408273,2.0851063829787235,0.1029696695337257
2,1,c 2130,s 3012,2,3,118,19,1.106526315789473,0.2765409861495844,2.459973315543696,4.379453681710211,0.5617078052034694,26.944000000000017,47.968,0.5617078052034693,1.3472000000000008,0.5991065599999998,2.3657894736842104,0.0964612188365651
2,2,c 2130,s 3012,2,3,138,23,0.9878260869565212,0.19472066540642805,2.4863072931680597,4.2093704245973615,0.5906601326030559,32.78400000000002,55.504000000000005,0.5906601326030559,1.3660000000000008,0.7915480000000003,2.38695652173913,0.18852551984877122
2,2,c 2130,s 3012,0,2,159,26,0.7544615384615387,0.1000308639053254,2.864658402997982,4.4304502897904605,0.646584029979821,35.88799999999999,55.504000000000005,0.646584029979821,1.3291851851851848,0.4706024471879278,2.688888888888889,0.0965432098765432
3,2,c 0312,s 0321,1,2,296,38,0.7271578947368414,0.10902497506925266,3.0941629034955684,4.358068315665487,0.709984947315605,67.92000000000003,95.66399999999999,0.709984947315605,1.744410256410257,1.2350948060486522,3.013953488372093,0.12980530016224986
3,1,c 0312,s 0321,2,1,235,38,0.7267368421052628,0.0924245096952903,2.8115428790199086,4.208452722063036,0.6680704441041351,55.84000000000001,83.58399999999999,0.668070444104135,1.4350769230769236,1.1924237633136094,2.7589041095890408,0.08269468943516607
3,2,c 0312,s 0321,3,3,274,48,0.7056666666666671,0.1196825555555555,2.7356230031948883,4.133478155925659,0.6618210862619807,66.28799999999998,100.16,0.6618210862619807,1.352816326530612,0.8444976193252802,2.71,0.20667777777777777
3,1,c 0312,s 0321,0,0,440,74,0.9009729729729717,0.865902188458729,2.659060143105782,4.46718648473034,0.595242699671244,98.4960000000001,165.472,0.595242699671244,1.3173333333333346,0.7830482488888861,2.7,0.4216774193548388
3,1,c 0312,s 0321,1,2,289,49,0.8029387755102042,0.16513226155768518,2.75974025974026,4.453279092702171,0.6197097020626431,64.89599999999999,104.72,0.6197097020626431,1.3075199999999998,0.938588569599998,2.8842105263157896,0.1916454293628809
3,2,c 0312,s 0321,2,1,332,39,0.6564102564102561,0.0989274214332677,3.3833360508723294,4.577542466357818,0.7391162563182784,72.52800000000003,98.12800000000001,0.7391162563182784,1.8132000000000006,1.3773745600000045,3.3806818181818183,0.2713313533057851
3,2,c 0312,s 0321,0,0,327,48,0.6736666666666666,0.1102425555555554,2.931368330464716,4.127953948697233,0.7101262191623636,79.216,111.55199999999999,0.7101262191623637,1.61665306122449,1.6855662673885907,2.9356435643564356,0.1888285462209588
3,1,c 0312,s 0321,3,3,315,47,0.7594893617021273,0.16646373924852928,2.8864716364716365,4.3165667332889175,0.6686961686961689,72.04800000000002,107.744,0.6686961686961689,1.5329361702127664,1.1704498469895872,2.9824742268041238,0.1678371771707939
4,1,c 0132,s 0231,1,2,368,44,0.6945454545454545,0.07954988429752037,3.3174671859224003,4.578936890304599,0.7245059858647052,80.36800000000001,110.928,0.7245059858647052,1.7859555555555555,1.8095933313580235,3.2534653465346537,0.18070581315557302
4,2,c 0132,s 0231,2,1,462,59,0.6950508474576282,0.08573198046538384,3.1132075471698113,4.3019964243146624,0.7236657681940697,107.39199999999994,148.4,0.7236657681940697,1.7898666666666656,2.1208530488888875,3.0913669064748204,0.16409813156668906
4,2,c 0132,s 0231,1,2,541,71,0.7015211267605649,0.11080579884943394,3.071071752951862,4.287118042348172,0.7163487738419613,126.19199999999988,176.16,0.7163487738419612,1.754888888888887,1.8201160987654315,3.0463855421686743,0.27694476701988674
4,1,c 0132,s 0231,0,0,428,53,0.639396226415095,0.05739193734425015,3.387791286727456,4.62962962962963,0.7317629179331305,92.448,126.33600000000003,0.7317629179331305,1.712,1.2029914074074088,3.3396551724137926,0.09342746730083235
4,1,c 0132,s 0231,2,1,458,56,0.7157142857142835,0.10208448979591811,3.046184952644461,4.153366221706322,0.7334255613493675,110.27200000000012,150.352,0.7334255613493675,1.9345964912280724,2.060461188057869,3.034751773049646,0.14240933554650168
4,2,c 0132,s 0231,0,0,393,48,0.6986666666666664,0.15970488888888854,3.0288763339610796,4.115489593995222,0.7359698681732583,93.79200000000003,127.44000000000001,0.7359698681732582,1.956333333333334,1.6604025555555584,3.0846153846153843,0.15907955292570677
