id,jour,ordre histoires,ordre conditions,histoire,condition,type,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
5,2,c 3102,s 2310,0,1,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
5,2,c 3102,s 2310,3,2,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
5,2,c 3102,s 2310,0,1,personnage,Tereinat,Tereinat,True,terrainard,,t_e_r_aI_n_a_t,10,,,10
5,2,c 3102,s 2310,1,3,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
5,2,c 3102,s 2310,3,2,personnage,Lasgelich,Soltete,False,vektelin,,z_o_l_t_e_t_@,10,,,10
5,2,c 3102,s 2310,3,2,vehicule,Soltete,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
5,2,c 3102,s 2310,1,3,personnage,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
1,3,c 3012,s 1302,1,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
1,3,c 3012,s 1302,1,0,maison,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10,,,10
1,3,c 3012,s 1302,3,1,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
1,3,c 3012,s 1302,1,0,personnage,Soltete,Mielbete,False,Tereinat,,m_i_l_b_e_t_@,10,,,10
1,3,c 3012,s 1302,0,3,maison,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
1,3,c 3012,s 1302,3,1,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
1,3,c 3012,s 1302,2,2,maison,Madikten,Madikten,True,Madikte,,m_a_d_i_k_t_@,10,,,10
1,3,c 3012,s 1302,3,1,personnage,Mielbete,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
1,3,c 3012,s 1302,0,3,vehicule,Zulergen,Melare,False,Melare,,m_e_l_a_r_@,10,,,10
1,3,c 3012,s 1302,2,2,personnage,Keimase,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
1,3,c 3012,s 1302,2,2,vehicule,Tereinat,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
1,3,c 3012,s 1302,0,3,personnage,Mattendich,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
6,2,c 2103,s 3021,1,0,vehicule,Lasgelich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
6,2,c 2103,s 3021,1,0,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
6,2,c 2103,s 3021,3,1,maison,Zulergen,Ligete,False,,,l_i_g_e_t_@,10,,,10
6,2,c 2103,s 3021,1,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
6,2,c 2103,s 3021,2,3,maison,Sonistik,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
6,2,c 2103,s 3021,3,1,vehicule,Keimase,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
6,2,c 2103,s 3021,0,2,maison,-1,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
6,2,c 2103,s 3021,3,1,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
6,2,c 2103,s 3021,2,3,vehicule,Ligete,Melare,False,,,m_e_l_a_r_@,10,,,10
6,2,c 2103,s 3021,0,2,personnage,Mattendich,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
6,2,c 2103,s 3021,0,2,vehicule,Wecktellin,Wecktellin,True,vektorine,,v_@_k_t_e_l_i_n,10,,,10
6,2,c 2103,s 3021,2,3,personnage,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
3,3,c 0312,s 0321,0,0,vehicule,Mielbete,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
3,3,c 0312,s 0321,0,0,maison,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10,,,10
3,3,c 0312,s 0321,2,1,maison,Keimase,Ligete,False,,,l_i_g_e_t_@,10,,,10
3,3,c 0312,s 0321,0,0,personnage,Lasgelich,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
3,3,c 0312,s 0321,3,3,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
3,3,c 0312,s 0321,2,1,vehicule,Zulergen,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
3,3,c 0312,s 0321,1,2,maison,Soltete,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
3,3,c 0312,s 0321,2,1,personnage,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
3,3,c 0312,s 0321,3,3,vehicule,Wecktellin,Melare,False,,,m_e_l_a_r_@,10,,,10
3,3,c 0312,s 0321,1,2,personnage,Tereinat,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
3,3,c 0312,s 0321,1,2,vehicule,Mattendich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
