id,test id,"<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png />,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />",Zulergen,Lasgelich,Melare
15,1,lasgelisch,,zularke,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
16,1,Linese,,,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
18,1,lasgelich,...,z..,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
19,1,Lasgelig,,,<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>,"<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />","<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />"
20,1,Lasgelich,someline,z,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
21,1,Lasgelich,Melare,Zulerge,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
22,1,A,M,Sulage,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
23,1,,Melare,Zulerge,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
24,1,Larsgelich,Melage,Zulrge,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
25,1,Larsgillig,Mierlere,,"<img src=""https://framapic.org/1e4c3yMi4eXU/YEMx5pW9l952.png"" />","<img src=""https://framapic.org/Avt4wFQKdZQm/tLIgcDR9urkS.png"" />",<img src=https://framapic.org/XnQSXSzM0tU7/TABRIwZq7dnG.png/>
