nom_fichier,transcription,traduction,commentaires,0,0
nom,,,,9.26,10.263
nom,,,,10.918,17.25
nom,,,,18.124,20.813
nom,,,,21.238,34.855
nom,,,,34.961,48.58
nom,,,,50.357,52.048
nom,,,,52.941,55.443
nom,,,,55.754,60.398
nom,,,,61.064,62.363
nom,,,,63.214,64.697
nom,,,,65.108,71.429
nom,,,,72.234,81.303
nom,,,,82.067,97.541
nom,,,,98.112,107.142
nom,,,,107.608,109.856
nom,,,,110.022,112.9
nom,,,,113.756,115.47
nom,,,,116.448,124.256
nom,,,,124.304,125.584
nom,,,,126.286,128.686
nom,,,,129.518,129.889
nom,,,,131.05,137.775
nom,,,,137.95,138.681
nom,,,,139.936,141.003
nom,,,,142.916,152.318
nom,,,,153.148,157.712
nom,,,,159.616,167.226
nom,,,,168.631,176.42
nom,,,,177.16,180.241
nom,,,,180.853,183.171
nom,,,,184.102,187.628
nom,,,,188.815,194.094
nom,,,,195.038,201.789
nom,,,,202.823,209.848
nom,,,,210.429,214.993
nom,,,,215.352,220.571
nom,,,,221.269,224.041
nom,,,,225.745,226.516
nom,,,,228.819,232.956
nom,,,,234.127,234.907
nom,,,,235.923,249.767
nom,,,,250.383,254.123
nom,,,,254.432,255.922
nom,,,,256.994,258.965
nom,,,,259.491,263.328
nom,,,,263.715,269.653
nom,,,,270.381,275.116
nom,,,,277.185,279.452
