a,49856.8,
d*,42242.6,
e,38022.8,
la,27614.1,
@,19452.5,
R*,18725.4,
l*,18593.4,
lE,18154.2,
O,15849.9,
m@,14223.3,
il,14200.5,
te,14082.3,
dE,13936.7,
s*,12816.4,
d,12502.2,
pa,11965.4,
sj6,11924.9,
k*,11491.9,
si,11419.5,
de,10078.9,
paR,9725.16,
E,9674.25,
d@,9391.59,
yn,9009.58,
Re,8907.16,
dy,8765.23,
i,8664.37,
?,8060.77,
di,7877.07,
ki,7858.99,
k6,7759.31,
se,7449.95,
ti,7411.37,
Z*,7102.56,
sE,6856.22,
sa,6590.86,
tE,6552.71,
t*,6461.52,
k,6360.81,
ma,6348.67,
s6,6316.53,
t@,6297.13,
Ra,6234.83,
puR,6159.96,
El,6111.8,
kO,6101.56,
n*,6017.51,
li,5998.44,
mE,5908.37,
ta,5844.84,
vE,5806.43,
6,5777.83,
s@,5732.7,
mi,5727.18,
syR,5649.47,
u,5589.21,
ne,5504.09,
m*,5482.46,
Ri,5468.87,
ka,5307.77,
RE,4649.76,
vi,4615.84,
bl*,4609.06,
s,4547.23,
plys,4519.84,
tu,4384.56,
pRO,4338.52,
me,4266.28,
n,4255.13,
pO,4214.1,
nu,4066.88,
ni,4006.24,
fi,3855.23,
le,3781.09,
vER,3541.41,
pe,3416.36,
Ze,3313.7,
pRe,3207.26,
tER,3144.93,
v@,3144.61,
ku,3143.45,
mO,3097.94,
tO,3097.47,
ty,3084.76,
vEk,3077.52,
pER,3076.59,
sO,3075.82,
vu,3059.46,
l9R,3054.52,
ve,3026.98,
kOm,2930.35,
l8i,2912.71,
na,2900.02,
su,2880.44,
y,2832.91,
pOR,2784.32,
fE,2782.96,
sEt,2773.83,
sER,2738.85,
p2,2727.73,
mEm,2653.81,
fOR,2574.35,
ze,2540.92,
Et,2509.56,
va,2499.65,
R@,2490.5,
sy,2447.63,
nO,2445.15,
gREk,2386.26,
n6,2370.54,
nE,2282.98,
kOR,2279.81,
kEl,2272.6,
vwa,2225.89,
bj5,2224.37,
Ot,2204.35,
fER,2195.77,
vO,2186.61,
mwa,2151.9,
Se,2098.78,
ZuR,2085.91,
dO,2072.95,
zi,2067.95,
ky,2060.35,
Ek,2030.95,
je,2027.15,
pRi,2011.56,
fa,2002.57,
ba,1986.31,
@t,1974.99,
vwaR,1954.82,
m6,1945.45,
ny,1939.64,
k6t,1914.66,
tik,1886.97,
RO,1823.31,
bR*,1803.89,
REs,1782.2,
p@,1774.02,
k@,1768.78,
Zi,1767.76,
ly,1764.29,
lO,1743.57,
t9R,1709.69,
dis,1699.96,
Za,1696.02,
p8i,1675.29,
pu,1675.02,
tRa,1672.28,
aR,1666.87,
tyR,1652.66,
pR*,1635.89,
Eg,1615.69,
OR,1610.49,
bi,1610.4,
d2,1596.03,
ga,1585.55,
pi,1571.51,
gaR,1553.53,
pRE,1538.72,
s5,1532.69,
z@,1528.36,
fe,1505.41,
l6,1463.94,
m5,1448.44,
vR*,1439.53,
Es,1433.18,
fwa,1428.79,
bO,1397.2,
fO,1388.61,
mER,1384.93,
ak,1373.38,
py,1358.64,
tut,1340.16,
sjO,1338.13,
p*,1335.66,
t5,1312.04,
s8i,1306.48,
tRE,1304.86,
za,1296.05,
tuR,1284.77,
d6,1282.51,
S*,1252.02,
fy,1246.96,
maR,1246.03,
S@,1242.13,
v*,1230.86,
z6,1214.63,
s9l,1213,
n@,1190.01,
zE,1180.24,
Sa,1176.21,
da,1169.54,
kaR,1168.76,
lOR,1167.07,
Om,1145.16,
bu,1144.41,
be,1137.87,
my,1105.01,
ke,1087.46,
swa,1085.8,
l@,1066.5,
niR,1064.53,
Rj5,1060.72,
f6,1052.44,
gR@,1038.37,
t6,1029.46,
s@s,1025.23,
5s,1018.24,
mEt,1002.2,
Ral,975.78,
pl*,966.69,
tus,964.64,
kRi,961.97,
sOR,942.65,
sEl,931.81,
R6,921.88,
ZE,911.35,
kuR,908.42,
tiv,903.01,
k6s,902.81,
by,884.98,
twaR,881.2,
f5,879.99,
kwa,875.48,
diR,872.34,
mw5,869.64,
kyl,868.58,
Z@,864.24,
lje,847.65,
nal,839.95,
vRE,837.93,
mal,831.38,
nis,828.91,
mOR,828.75,
nik,827.71,
tEl,826.63,
Ry,826.27,
kl*,823.63,
f@,823.63,
SER,822.83,
sis,820.03,
tal,813.8,
tRO,803.31,
ER,793.84,
f*,786.71,
tRu,774.4,
tyd,772.79,
zj6,767.9,
kRe,767.26,
sje,766.63,
dER,764.2,
vy,760.32,
bli,757.63,
nEl,756.64,
pli,755.84,
jE,750.11,
nER,744.28,
Op,735.85,
SOz,734.61,
mjER,721.3,
s@t,698.9,
b6,696.14,
v5,687.74,
mEn,686.09,
nOt,685.98,
zO,682.26,
tRwa,677.49,
lEk,676.53,
kRwa,674.95,
nEt,672.06,
Ru,665.25,
bOR,664.28,
tje,663.81,
Si,662.54,
ad,660.79,
lwa,660.32,
t@s,656.62,
fR@,650.48,
p6,650.35,
tif,648.3,
tis,640.62,
tiR,636.27,
pE,633.19,
pw5,632.81,
gR@d,632.22,
v2,626.47,
ply,624.42,
j2,616.68,
m6d,616.58,
tRi,615.58,
9R,614.13,
zis,611.69,
kal,611.38,
tEk,611.27,
fam,605.98,
gRa,604.54,
sla,604.3,
dwa,602.01,
Ne,599.01,
sjEl,598.05,
Rj9R,597.95,
fik,597.67,
tit,594.97,
j@,593.8,
vj5,593.05,
j9R,592.29,
n8i,589.3,
pla,585.09,
is,582.11,
lj2,580.82,
pR@d,579.21,
lER,570.52,
lis,560.57,
tEt,555.96,
twa,548.13,
tEn,547.2,
spe,545.57,
SaR,544.89,
plas,544.49,
gl*,543.33,
pje,542.51,
Ris,537.63,
RiR,537.28,
mje,533.47,
gRe,528.44,
kla,526.49,
du,525.87,
d6k,524.97,
d8i,524.96,
sl8i,523.71,
ple,522.27,
b*,520.61,
sEp,517.98,
bRa,513.61,
v6,509.06,
bRi,508.99,
gu,505.74,
al,503.91,
taR,501.64,
R@t,501.01,
R*t,500.62,
mik,498.99,
Zy,498.85,
sRE,497.96,
Rwa,494.9,
pas,492.01,
Zys,492.01,
s9R,489.25,
REk,487.38,
R@s,486.9,
gER,484.82,
t@t,483.78,
zaZ,483.56,
Sak,483.48,
tj6,482.19,
njER,480.56,
m6t,479,
tjER,474.83,
pREs,472.88,
bER,471.35,
RjER,469.29,
sjal,469.27,
zER,468.54,
gO,468.52,
nje,467.89,
vis,464.71,
tR@s,463.9,
ROl,458.63,
kOl,454.9,
t@d,452.76,
mu,452.7,
t,448.94,
nOR,447.97,
hO,444.16,
vEl,440.6,
m5t,439.44,
s2,432.88,
ap,431.9,
Zik,431.76,
kE,431.66,
d@s,431.59,
sOn,430.99,
kEs,423.25,
j6,421.85,
s8it,420.27,
Z9n,420.22,
dR*,418.67,
Em,416.31,
pRiz,415.36,
t8El,414.47,
dyk,411.01,
tR*,410.11,
et,409.54,
sja,409.27,
tEs,406.96,
swaR,406.48,
lw5,405.79,
fEt,402.74,
m@d,402.49,
sil,402.05,
at,401.74,
fas,396.09,
tj5,394.35,
ble,394.27,
nwaR,391.32,
Rak,390.33,
gy,389.51,
fEk,388.71,
wi,388.06,
l@s,387.93,
ziR,387.85,
laR,387.64,
blik,384.04,
t8e,382.79,
pR@,382.41,
f6k,382.39,
vil,382.23,
k1,381.96,
fje,380.24,
pR5,378.87,
Ob,377.68,
kat,377.63,
sj2,371.82,
SO,368.4,
p5,365.57,
fis,365.52,
fij,361.35,
sjE,357.79,
plE,356.56,
k9R,355.27,
pEl,354.93,
sj5,354.6,
REt,354.23,
pl@,352.9,
z@t,350.93,
pOz,350.81,
RER,349.35,
Zu,348.92,
j5,348.53,
vaj,348,
SE,344.76,
Rik,344.02,
b@,342.64,
vje,341.87,
taZ,340.93,
Rje,337.95,
vit,337.73,
d9R,337.03,
ljER,336.31,
sj@s,335.08,
ja,333.9,
myR,333.08,
baR,332.95,
ZER,332.91,
gRi,332.46,
mj2,331.94,
bwa,330.73,
lEt,329.4,
vOt,326.6,
dOn,326.4,
Ni,323.21,
gRup,323,
dRwa,322.8,
gal,322.24,
REl,319.39,
tR@,318.61,
d5,317.04,
bEl,316.62,
dut,314.4,
zyR,314.12,
REj,314.1,
sRa,313.74,
bOn,312.24,
ge,310.35,
dEs,309.81,
sta,307.94,
myl,307.36,
kRE,303.63,
lEv,303.23,
pjER,302.04,
miz,298.99,
siR,298.37,
tRe,297.04,
v@t,295.57,
jO,294.57,
sOm,293.78,
ZEs,292.93,
pwa,292.45,
muR,291.51,
fRE,291.12,
zik,290.24,
blEm,288.83,
Z2,288.72,
maZ,288.17,
R5,287.24,
ZO,286.84,
n9R,285.98,
bl@,284.74,
dik,283.53,
tEm,283.1,
sOl,281.94,
fiR,281.85,
fu,279.81,
klER,279.37,
pat,278.13,
R2z,276.43,
saZ,276.11,
as,274.4,
sEk,274.02,
blE,271.05,
kRO,269.94,
naZ,269.08,
taj,267.89,
dOR,267.59,
pEn,267.5,
g6,267.31,
R2,266.97,
mis,266.29,
kyn,266.09,
tip,265.22,
aS,264.91,
m9R,262.82,
gRE,262.35,
p9R,260.61,
fuR,260.11,
gRO,259.82,
vj2,259.81,
zw5,259.71,
dZin,259.35,
sal,258.78,
fRa,257.71,
muv,255.57,
kle,255.38,
p9v,254.32,
RaZ,253.5,
dja,251.7,
liz,251.64,
fRe,250.05,
tRyk,250.01,
dyR,248.48,
vRi,247.74,
8i,247.43,
buR,247.4,
suR,247,
zyl,246.75,
@p,246.36,
kRa,245.36,
p@s,245.34,
sp@,244.54,
ha,243.82,
sEN,243.53,
tRuv,243.29,
m@s,242.44,
