id,jour,ordre histoires,ordre conditions,histoire,condition,mean f,var f
1,1,4123,2413,-1,-1,187.3969465648855,9.103039832274954
1,1,4123,2413,4,2,384.12857142857143,22.508043913595124
1,1,4123,2413,3,3,218.96103896103895,16.753322258966065
1,1,4123,2413,-1,-1,269.9655172413793,14.775288686416388
2,1,3241,4123,-1,-1,226.71028037383178,10.209954228200598
2,1,3241,4123,3,4,303.5,30.386857539257182
2,1,3241,4123,-1,-1,200.61417322834646,8.025596103741183
2,1,3241,4123,4,2,406.17241379310343,27.01349466791742
3,1,1423,1432,-1,-1,283.72093023255815,30.30950850989523
3,1,1423,1432,-1,-1,206.12605042016807,19.178311727139597
3,1,1423,1432,4,4,314.0,22.700287009265548
3,1,1423,1432,3,2,264.8970588235294,20.088143785856513
4,1,1243,1342,4,4,-1,-1
4,1,1243,1342,-1,-1,-1,-1
4,1,1243,1342,3,2,-1,-1
4,1,1243,1342,-1,-1,192.56626506024097,8.310528626400668
5,1,4213,3421,-1,-1,91.32704402515724,4.6506871817197855
5,1,4213,3421,-1,-1,113.59689922480621,4.478232243710017
5,1,4213,3421,3,1,114.57462686567165,5.917816339994432
5,1,4213,3421,4,3,158.91603053435114,15.468282331569462
6,1,3214,4132,3,4,302.71666666666664,25.14497409468187
6,1,3214,4132,-1,-1,246.54901960784315,20.132710409942224
6,1,3214,4132,-1,-1,228.75238095238095,20.18003773293039
6,1,3214,4132,4,2,405.2083333333333,47.245792728618234
7,1,2134,2431,3,3,209.0235294117647,20.401831792376612
7,1,2134,2431,-1,-1,175.48192771084337,12.093373118876498
7,1,2134,2431,-1,-1,195.8082191780822,15.676225375840726
7,1,2134,2431,4,1,211.54455445544554,16.201408539472
8,1,1342,1243,3,2,191.77083333333334,19.315084329064913
8,1,1342,1243,-1,-1,119.07377049180327,10.070381854796985
8,1,1342,1243,-1,-1,132.6697247706422,10.46361546254936
8,1,1342,1243,4,4,150.98473282442748,10.50553088268701
9,1,3142,4321,4,2,230.84057971014494,13.345599272936049
9,1,3142,4321,3,4,238.31578947368422,10.254922471820404
9,1,3142,4321,-1,-1,207.25641025641025,12.16352530303208
9,1,3142,4321,-1,-1,221.42990654205607,9.590797915927686
